review_highlighted,label,x1,x2
"I was at this café on Friday, ordered a 300 ml tea with milk, and the guy at the counter charged 1600 tenge even though the tea costs 1100 — 500 straight into his pocket.",0,0,0
"I ordered a white mocha frappuccino, paid for it, but they made the wrong one. Turns out the barista herself decided to add chocolate chips.",0,0,0
"The coffee is **terrible**, they always have trainees working, so it tastes **bad**.",0,0,2
A very _nice_ and sweet girl named Aruzhan. The coffee is also very _tasty_.,1,2,0
It’s okay / It’ll do,1,0,0
"The frappuccino was very _tasty_, thank you to the barista Aruzhan.",1,1,0
"The souvenirs are totally _awesome_, met some French girls there",1,1,0
"Everything was _tasty_, I liked it. The service is _good_",1,2,0
The taste is worse than 3-in-1 MacCoffee. Just a **terrible** taste.,0,0,1
Barista Alina made us the _best_ matcha today!,1,1,0
Aruzhan is the _best_ barista I’ve seen at Starbucks.,1,1,0
The service is **terrible** and **slow**,0,0,2
A **rude** employee with a bob haircut answered very coldly and turned her back on me.,0,0,1
"I ordered a frappuccino, but it came without whipped cream. **terrible** service.",0,0,1
"**rude** cashier, _tasty_ coffee…",0,1,1
Thanks to Alina for the service,1,0,0
"Barista Alina is such a comfort, she served so nicely",1,1,0
Barista Alina makes very _delicious_ and beautiful coffee.,1,1,0
"Barista Aruzhan is very _nice_, though her voice is squeaky, but she makes _tasty_ coffee",1,2,0
The staff is **rude**. Pastry was raw and coffee was **awful**.,0,0,2
The cashiers are **rude**,0,0,1
"**rude** staff, the order took 20 minutes to prepare",0,0,1
The _best_,1,1,0
"The girl Assal is very _nice_, _delicious_ matcha with coconut milk",1,2,0
"The cashier was **rude**, aggressive, administrator couldn’t fix the situation.",0,0,1
"**terrible** service, ignored by laughing staff.",0,0,1
"I _love_ matcha latte, always _delicious_, though salmon croissants are often out of stock",1,2,0
Barista Assala was **rude** and lied about the promotion.,0,0,1
**unpleasant** guy at the counter,0,1,1
"Everything’s _great_, everyone’s _awesome_, bring back strawberry frappe",1,2,0
Thanks to barista Arlan for excellent service!,1,0,0
"Got hot chocolate, asked to make it rich, but it still tasted like milk",0,0,0
There was a cockroach in the drink.,0,0,0
The staff is **rude** and the coffee isn’t _good_ compared to other locations,0,1,1
"Ignored at the counter, **rude** attitude, refused sugar in takeaway coffee",0,0,1
"Lemonade tastes like water with jam, **overpriced**, **disappointing**",0,0,2
"Always _tasty_ coffee, _friendly_ staff, suggest biodegradable cups",1,2,0
A hardworking guy named Arlan did a _great_ job and helped colleagues,1,1,0
"**bad** service, **slow** cashier",0,0,2
"Write names correctly, cappuccino not sweet, nonsense, boycott",0,0,0
"The lemonade is **terrible**, like tap water",0,0,1
"Everything’s _great_, barista Arlan is the _best_",1,2,0
Thanks to Viktor for quick service,1,0,0
Coffee is _tasty_ but inconsistent between visits,1,1,0
"**disgusting** coffee, paid for syrups but no taste",0,0,1
"Very _tasty_ mocha, staff offered free lemonades",1,1,0
Mmmmmm so _delicious_,1,1,0
"Got raspberry frappuccino, it was very _tasty_",1,1,0
"Bagged tea for 1000 tenge, tasted **bad**, ruined mood",0,0,1
"They added caramel when I can’t have sugar, barista threw coffee",0,0,0
"Assal is _amazing_, speaks perfect Kazakh",1,1,0
Kazakhs don’t go to Starbucks because we respect our own language,0,0,0
"They can’t serve in Kazakh, disrespectful to language",0,0,0
"Thank you very much, coffee always _delicious_, staff _polite_",1,2,0
"Stylish, fast",1,0,0
"Lemonade like tap water, cappuccino **disgusting**",0,0,1
Everything is low-level,0,0,0
"Wrong order and overcharged, **disappointing**",0,0,1
Order wrong twice and overcharged,0,0,0
They made me cocoa instead of caramel latte,0,0,0
"Very _polite_ staff, _tasty_ lavender coffee, thanks Bekzat",1,2,0
"Three baristas full of themselves, **bad** service and delays",0,0,1
"_awesome_ Americano, _tasty_ croissant, _polite_ staff",1,3,0
"Incorrect opening time, please fix",0,0,0
"Cappuccino just milk, no coffee taste",0,0,0
"Internet doesn’t work, **slow** service, few desserts",0,0,1
Delivery wrong size and no receipt,0,0,0
**rude** girl cashier Maral,0,0,1
"**worst** Starbucks in Astana, **rude** staff, **bad** coffee",0,0,3
"Very _tasty_, thank you",1,1,0
"**rude** morning staff, wrong hours",0,0,1
"_good_ place for coffee and meetings, worth the price",1,1,0
After renovation staff became **terrible**,0,0,1
"Drinks leak, **burned** hand, **bad** manager Amir",0,0,2
"_nice_ place to spend time with friends, thanks Beka",1,1,0
"Learn to write Kazakh names correctly, show respect",0,0,0
**rude** dark-haired girl at counter,0,0,1
After renovation don’t even want to enter,0,0,0
New interior is **awful**,0,0,1
"_best_ coffee, thankful to Beka",1,1,0
"**awful** new interior, peach colors, don’t want to come back",0,0,1
"Write names correctly, full of mistakes, disrespectful",0,0,0
"Used to be _best_ café, now looks like public restroom",0,1,0
Always missing syrup for frappes,0,0,0
"Sanzhar provides _great_ service, _pleasant_ guy",1,2,0
"Always out of almond milk, wastes time, not recommended",0,0,0
I _love_ mocha BM,1,1,0
"Sanzhar is the _best_, I said I’d write and I did",1,1,0
"Aruzhan, thank you, excellent service",1,0,0
"I fainted, staff helped and remade my order, very kind",1,0,0
"Exhausted staff, **worst** coffee, no receipt, disappointed",0,0,1
"Barista Nurdaulet _polite_ and professional, _great_ coffee",1,2,0
