review,label,x1,x2
"I was at this café on Friday, ordered a 300 ml tea with milk, and the guy at the counter charged 1600 tenge even though the tea costs 1100 — 500 straight into his pocket.",0,0,0
"I ordered a white mocha frappuccino, paid for it, but they made the wrong one. Turns out the barista herself decided to add chocolate chips.",0,0,0
"The coffee is terrible, they always have trainees working, so it tastes bad.",0,0,2
A very nice and sweet girl named Aruzhan. The coffee is also very tasty.,1,2,0
It’s okay / It’ll do,1,0,0
"The frappuccino was very tasty, thank you to the barista Aruzhan.",1,1,0
"The souvenirs are totally awesome, met some French girls there",1,1,0
"Everything was tasty, I liked it. The service is good",1,2,0
The taste is worse than 3-in-1 MacCoffee. Just a terrible taste.,0,0,1
Barista Alina made us the best matcha today!,1,1,0
Aruzhan is the best barista I’ve seen at Starbucks.,1,1,0
The service is terrible and slow,0,0,2
A rude employee with a bob haircut answered very coldly and turned her back on me.,0,0,1
"I ordered a frappuccino, but it came without whipped cream. Terrible service.",0,0,1
"Rude cashier, tasty coffee…",0,1,1
Thanks to Alina for the service,1,0,0
"Barista Alina is such a comfort, she served so nicely",1,1,0
Barista Alina makes very delicious and beautiful coffee.,1,1,0
"Barista Aruzhan is very nice, though her voice is squeaky, but she makes tasty coffee",1,2,0
The staff is rude. Pastry was raw and coffee was awful.,0,0,2
The cashiers are rude,0,0,1
"Rude staff, the order took 20 minutes to prepare",0,0,1
The best,1,1,0
"The girl Assal is very nice, delicious matcha with coconut milk",1,2,0
"The cashier was rude, aggressive, administrator couldn’t fix the situation.",0,0,1
"Terrible service, ignored by laughing staff.",0,0,1
"I love matcha latte, always delicious, though salmon croissants are often out of stock",1,2,0
Barista Assala was rude and lied about the promotion.,0,0,1
Unpleasant guy at the counter,0,1,1
"Everything’s great, everyone’s awesome, bring back strawberry frappe",1,2,0
Thanks to barista Arlan for excellent service!,1,0,0
"Got hot chocolate, asked to make it rich, but it still tasted like milk",0,0,0
There was a cockroach in the drink.,0,0,0
The staff is rude and the coffee isn’t good compared to other locations,0,1,1
"Ignored at the counter, rude attitude, refused sugar in takeaway coffee",0,0,1
"Lemonade tastes like water with jam, overpriced, disappointing",0,0,2
"Always tasty coffee, friendly staff, suggest biodegradable cups",1,2,0
A hardworking guy named Arlan did a great job and helped colleagues,1,1,0
"Bad service, slow cashier",0,0,2
"Write names correctly, cappuccino not sweet, nonsense, boycott",0,0,0
"The lemonade is terrible, like tap water",0,0,1
"Everything’s great, barista Arlan is the best",1,2,0
Thanks to Viktor for quick service,1,0,0
Coffee is tasty but inconsistent between visits,1,1,0
"Disgusting coffee, paid for syrups but no taste",0,0,1
"Very tasty mocha, staff offered free lemonades",1,1,0
Mmmmmm so delicious,1,1,0
"Got raspberry frappuccino, it was very tasty",1,1,0
"Bagged tea for 1000 tenge, tasted bad, ruined mood",0,0,1
"They added caramel when I can’t have sugar, barista threw coffee",0,0,0
"Assal is amazing, speaks perfect Kazakh",1,1,0
Kazakhs don’t go to Starbucks because we respect our own language,0,0,0
"They can’t serve in Kazakh, disrespectful to language",0,0,0
"Thank you very much, coffee always delicious, staff polite",1,2,0
"Stylish, fast",1,0,0
"Lemonade like tap water, cappuccino disgusting",0,0,1
Everything is low-level,0,0,0
"Wrong order and overcharged, disappointing",0,0,1
Order wrong twice and overcharged,0,0,0
They made me cocoa instead of caramel latte,0,0,0
"Very polite staff, tasty lavender coffee, thanks Bekzat",1,2,0
"Three baristas full of themselves, bad service and delays",0,0,1
"Awesome Americano, tasty croissant, polite staff",1,3,0
"Incorrect opening time, please fix",0,0,0
"Cappuccino just milk, no coffee taste",0,0,0
"Internet doesn’t work, slow service, few desserts",0,0,1
Delivery wrong size and no receipt,0,0,0
Rude girl cashier Maral,0,0,1
"Worst Starbucks in Astana, rude staff, bad coffee",0,0,3
"Very tasty, thank you",1,1,0
"Rude morning staff, wrong hours",0,0,1
"Good place for coffee and meetings, worth the price",1,1,0
After renovation staff became terrible,0,0,1
"Drinks leak, burned hand, bad manager Amir",0,0,2
"Nice place to spend time with friends, thanks Beka",1,1,0
"Learn to write Kazakh names correctly, show respect",0,0,0
Rude dark-haired girl at counter,0,0,1
After renovation don’t even want to enter,0,0,0
New interior is awful,0,0,1
"Best coffee, thankful to Beka",1,1,0
"Awful new interior, peach colors, don’t want to come back",0,0,1
"Write names correctly, full of mistakes, disrespectful",0,0,0
"Used to be best café, now looks like public restroom",0,1,0
Always missing syrup for frappes,0,0,0
"Sanzhar provides great service, pleasant guy",1,2,0
"Always out of almond milk, wastes time, not recommended",0,0,0
I love mocha BM,1,1,0
"Sanzhar is the best, I said I’d write and I did",1,1,0
"Aruzhan, thank you, excellent service",1,0,0
"I fainted, staff helped and remade my order, very kind",1,0,0
"Exhausted staff, worst coffee, no receipt, disappointed",0,0,1
"Barista Nurdaulet polite and professional, great coffee",1,2,0
